id,title,jtbd,source_ids,evidence_state,confidence,priority
H001,Automatic task context recap,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.34,0.68
H002,Source-linked decision history,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.33,0.743
H003,Next meaningful step suggestion,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.31,0.558
H004,Cross-source context timeline,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.29,0.331
H005,Context snapshot on task switch,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.3,0.4
H006,Open-loop detection,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.28,0.373
H007,Context confidence indicator,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.3,0.7
H008,Selective context forgetting,context-restoration,001;002;003;004;005;006;007;008;009;010,synthetic-only,0.25,0.3
H009,Explicit decision criteria matrix,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.34,0.85
H010,Evidence-backed recommendation,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.34,0.612
H011,Reversible decision mode,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.31,0.62
H012,Decision journal with outcome review,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.29,0.387
H013,Contradiction detector,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.27,0.309
H014,Decision deadline guardrail,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.28,0.653
H015,Alternative generation with constraints,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.3,0.48
H016,Pre-mortem on selected option,decision-support,011;012;013;014;015;016;017;018;019;020,synthetic-only,0.26,0.455
H017,Goal-vs-time weekly review,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.34,0.85
H018,Unplanned work classification,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.31,0.465
H019,Attention fragmentation score,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.29,0.464
H020,Priority drift alerts,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.28,0.448
H021,Deep-work evidence window,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.28,0.49
H022,Meeting cost reflection,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.25,0.292
H023,Behavioral baseline and trend,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.26,0.297
H024,Evidence-linked coaching prompt,time-feedback,021;022;023;024;025;026;027;028;029;030,synthetic-only,0.27,0.63
