interview_id,segment,jtbd,context,trigger,pain,workaround,importance,satisfaction,coding_confidence,evidence_type
,Product manager,context-restoration,Работа над несколькими параллельными инициативами.,Нужно продолжить задачу после переключения контекста.,После переключения между проектами приходится заново читать переписки и заметки.,личные заметки.,9,3,0.82,synthetic-fixture
,Founder,context-restoration,Неделя с высокой плотностью встреч и переключений.,"Появилось решение, которое нельзя больше откладывать.","История решений разбросана между чатами, задачами и документами.",закладки браузера.,9,4,0.78,synthetic-fixture
,Software engineer,context-restoration,Возврат к задаче после нескольких дней перерыва.,Пользователь пытается понять причины слабого прогресса.,"После паузы сложно понять, на чём остановилась работа и какие предположения уже проверялись.",поиск по чатам.,8,4,0.76,synthetic-fixture
,Consultant,context-restoration,Подготовка важного решения с неполной информацией.,Новая информация меняет исходные предположения.,"Ссылки и факты сохраняются, но причинно-следственная связь между ними теряется.",история задач.,10,2,0.88,synthetic-fixture
,Marketing lead,context-restoration,Еженедельный обзор прогресса и приоритетов.,Наступает момент планирования следующего рабочего блока.,Возвращение к задаче начинается с ручной реконструкции контекста.,ежедневный журнал.,9,5,0.74,synthetic-fixture
,Operations manager,context-restoration,Работа над несколькими параллельными инициативами.,Нужно продолжить задачу после переключения контекста.,После переключения между проектами приходится заново читать переписки и заметки.,личные заметки.,8,3,0.79,synthetic-fixture
,Researcher,context-restoration,Неделя с высокой плотностью встреч и переключений.,"Появилось решение, которое нельзя больше откладывать.","История решений разбросана между чатами, задачами и документами.",закладки браузера.,9,4,0.84,synthetic-fixture
,Freelancer,context-restoration,Возврат к задаче после нескольких дней перерыва.,Пользователь пытается понять причины слабого прогресса.,"После паузы сложно понять, на чём остановилась работа и какие предположения уже проверялись.",поиск по чатам.,10,3,0.86,synthetic-fixture
,Team lead,context-restoration,Подготовка важного решения с неполной информацией.,Новая информация меняет исходные предположения.,"Ссылки и факты сохраняются, но причинно-следственная связь между ними теряется.",история задач.,8,5,0.72,synthetic-fixture
,Knowledge worker,context-restoration,Еженедельный обзор прогресса и приоритетов.,Наступает момент планирования следующего рабочего блока.,Возвращение к задаче начинается с ручной реконструкции контекста.,ежедневный журнал.,9,4,0.81,synthetic-fixture
,Product manager,decision-support,Работа над несколькими параллельными инициативами.,Нужно продолжить задачу после переключения контекста.,Слишком много вариантов приводит к откладыванию решения.,таблица плюсов и минусов.,9,4,0.80,synthetic-fixture
,Founder,decision-support,Неделя с высокой плотностью встреч и переключений.,"Появилось решение, которое нельзя больше откладывать.",Аргументы за и против остаются в голове и сложно сравниваются.,совет коллеги.,8,5,0.75,synthetic-fixture
,Software engineer,decision-support,Возврат к задаче после нескольких дней перерыва.,Пользователь пытается понять причины слабого прогресса.,"После принятия решения трудно вспомнить, какие критерии были главными.",поиск в интернете.,9,3,0.83,synthetic-fixture
,Consultant,decision-support,Подготовка важного решения с неполной информацией.,Новая информация меняет исходные предположения.,Новая информация постоянно возвращает пользователя к уже рассмотренным вариантам.,заметка со списком критериев.,9,4,0.79,synthetic-fixture
,Marketing lead,decision-support,Еженедельный обзор прогресса и приоритетов.,Наступает момент планирования следующего рабочего блока.,Советы других людей не учитывают личные ограничения и цели.,откладывание решения.,10,3,0.89,synthetic-fixture
